,user,time_unix,weight_dem,weight_rep
430,Hillary Clinton,1476143453,0.97890407,0.021095876
431,Bernie Sanders,1467817240,0.99948114,0.0005188378
432,Bernie Sanders,1467761520,0.22680382,0.77319616
433,Bernie Sanders,1467822972,0.93963724,0.06036272
434,Bernie Sanders,1467750424,0.9528918,0.047108173
435,Bernie Sanders,1467768180,0.99987054,0.00012949765
436,Bernie Sanders,1468012926,0.86448944,0.13551052
437,Bernie Sanders,1467828686,0.5033252,0.49667487
438,Bernie Sanders,1467822683,0.9999782,2.1819906e-05
439,Bernie Sanders,1468261916,0.97250575,0.027494302
440,Bernie Sanders,1467922369,0.046461824,0.9535382
441,Bernie Sanders,1467908280,0.96277195,0.03722809
442,Bernie Sanders,1467816667,0.98892665,0.011073341
443,Bernie Sanders,1468277598,0.5560025,0.44399744
444,Bernie Sanders,1467738083,0.8366308,0.1633692
445,Bernie Sanders,1467820588,0.9976947,0.0023053477
446,Bernie Sanders,1468248928,0.06255266,0.93744737
447,Bernie Sanders,1467984481,0.5953167,0.40468326
448,Bernie Sanders,1468087808,0.7416251,0.25837496
449,Bernie Sanders,1467736325,0.30418423,0.69581574
450,Bernie Sanders,1468285563,0.9947166,0.0052834186
451,Bernie Sanders,1467735139,0.99660313,0.0033968186
452,Bernie Sanders,1467988862,0.88588923,0.114110775
453,Bernie Sanders,1467818305,0.9946727,0.005327248
454,Bernie Sanders,1467912174,0.9780563,0.021943694
455,Bernie Sanders,1467735449,0.9797606,0.020239472
456,Bernie Sanders,1468171589,0.906145,0.09385503
457,Bernie Sanders,1467822776,0.036314536,0.96368545
458,Bernie Sanders,1467921943,0.03429741,0.96570253
459,Bernie Sanders,1467901143,0.29204866,0.7079513
460,Bernie Sanders,1467850254,0.8153137,0.18468624
461,Bernie Sanders,1468268940,0.022116408,0.9778836
462,Bernie Sanders,1467730925,0.9899975,0.010002497
463,Bernie Sanders,1467816323,0.9963154,0.0036846623
464,Bernie Sanders,1467919880,0.84280217,0.15719782
465,Bernie Sanders,1467752926,0.99998796,1.2050306e-05
466,Bernie Sanders,1467895088,0.976024,0.023976063
467,Bernie Sanders,1467853629,0.88259774,0.117402256
468,Bernie Sanders,1467981896,0.9195729,0.08042709
469,Bernie Sanders,1467818457,0.8114061,0.18859397
470,Bernie Sanders,1467910924,0.4898153,0.51018476
471,Bernie Sanders,1467833541,0.9608385,0.039161474
472,Bernie Sanders,1467902438,0.87932146,0.120678544
473,Bernie Sanders,1467894965,0.40883982,0.5911601
474,Bernie Sanders,1467734747,0.999998,2.0126765e-06
475,Bernie Sanders,1467907443,0.8872775,0.11272248
476,Bernie Sanders,1467895266,0.9984458,0.0015541561
477,Tim Kaine,1475289542,0.99910444,0.00089552515
478,Bernie Sanders,1467831725,0.9994099,0.00059013057
479,Bernie Sanders,1467898395,0.57046354,0.4295364
480,Bernie Sanders,1467735246,0.9768695,0.023130516
481,Hillary Clinton,1475289269,0.99985147,0.00014856596
482,Bernie Sanders,1467819792,0.011730136,0.9882699
483,Bernie Sanders,1467833398,0.16444084,0.8355592
484,Bernie Sanders,1467920600,0.45607287,0.5439271
485,Bernie Sanders,1467936220,0.009499146,0.9905008
486,Bernie Sanders,1467826397,0.971333,0.028666912
487,Bernie Sanders,1467930854,0.9743255,0.025674535
488,Bernie Sanders,1467749643,0.33993462,0.66006535
489,Bernie Sanders,1467741088,0.22843334,0.7715666
490,Bernie Sanders,1472087606,0.9204249,0.07957514
